district,ROBBERY,BURGLARY,NARCOTICS,ASSAULT,THEFT,MOTOR VEHICLE THEFT,BATTERY,OTHER OFFENSE,CRIMINAL DAMAGE,CRIM SEXUAL ASSAULT,DECEPTIVE PRACTICE,ARSON,WEAPONS VIOLATION,SEX OFFENSE,PUBLIC PEACE VIOLATION,INTERFERENCE WITH PUBLIC OFFICER,CRIMINAL TRESPASS,OFFENSE INVOLVING CHILDREN,HOMICIDE,PROSTITUTION,GAMBLING,LIQUOR LAW VIOLATION,KIDNAPPING,STALKING,INTIMIDATION,OTHER NARCOTIC VIOLATION,NON-CRIMINAL,CONCEALED CARRY LICENSE VIOLATION,OBSCENITY,NON - CRIMINAL,PUBLIC INDECENCY,NON-CRIMINAL (SUBJECT SPECIFIED)
,125,194,17,160,509,75,583,100,237,13,93,5,2,8,10,1,33,48,0,3,0,2,4,4,0,0,0,0,0,0,0,0
001,237,149,240,409,4482,178,1037,326,457,29,1231,1,22,33,88,19,602,24,0,22,1,11,1,12,4,1,1,1,0,0,2,0
002,494,527,788,717,2112,399,1878,604,925,43,536,4,107,25,85,25,344,86,15,12,6,1,5,3,3,0,0,0,2,0,0,0
003,502,717,976,877,1804,316,2472,1054,1148,50,422,17,172,40,134,83,370,107,13,33,27,6,11,6,5,0,0,2,0,0,0,0
004,501,841,1434,1037,2415,461,2790,1017,1540,60,483,24,260,39,198,64,319,143,27,42,24,19,10,6,5,0,0,0,0,0,0,0
005,379,590,1003,881,1757,304,2239,618,1228,48,311,16,251,30,131,75,289,95,16,92,18,9,10,4,15,0,1,1,2,2,0,0
006,639,767,1248,993,2685,490,2978,778,1351,55,699,18,242,28,143,70,368,106,25,38,20,8,11,9,3,1,1,0,1,0,0,0
007,591,687,1549,1045,1973,382,3145,724,1238,68,453,42,317,28,194,114,329,91,42,84,40,2,18,3,5,0,0,0,1,0,0,0
008,490,1172,1217,856,3337,684,2363,1037,1959,69,735,33,164,52,238,74,318,138,27,99,21,18,20,3,6,0,0,0,2,4,2,0
009,388,679,1073,742,2365,525,2138,672,1407,40,476,30,138,44,156,72,277,94,21,17,9,22,17,7,2,0,0,0,2,1,0,1
010,460,487,1654,726,1653,369,2327,578,1102,44,291,22,155,30,199,52,225,98,20,10,31,35,3,5,6,0,1,0,0,2,0,0
011,613,452,5557,963,1786,479,3120,878,1126,82,481,18,186,35,194,198,255,109,43,423,82,13,5,6,7,2,0,3,2,0,0,0
012,337,604,541,632,3259,544,1662,524,1219,31,563,14,46,27,88,22,301,97,7,49,4,19,3,8,5,0,0,1,0,0,0,0
014,285,616,277,385,2651,368,1294,373,881,37,357,6,40,34,35,17,185,58,5,9,0,30,4,4,1,0,0,0,0,0,0,0
015,395,304,2722,700,1224,364,2268,636,831,41,306,9,137,19,158,97,333,70,26,117,70,7,7,3,5,0,0,2,0,0,0,0
016,90,462,487,409,1824,337,1194,1001,972,18,520,9,43,28,46,15,302,73,7,19,0,12,12,5,3,0,2,1,1,1,0,0
017,164,399,299,317,1649,342,981,358,842,22,314,13,41,28,57,14,106,52,2,27,4,20,9,5,4,0,0,0,1,0,0,0
018,187,210,229,343,4509,206,1208,302,639,38,1017,4,31,31,56,28,412,31,2,66,0,42,3,5,4,3,2,2,0,0,1,0
019,313,608,608,393,3634,336,1289,425,1077,55,769,15,28,52,89,17,362,46,5,7,1,40,3,1,5,2,3,1,1,0,3,0
020,89,178,237,204,976,136,643,259,388,23,233,7,23,24,26,13,99,18,2,1,1,8,3,0,1,0,0,0,1,0,0,0
022,237,419,612,526,1654,274,1232,541,780,24,429,5,101,34,65,33,212,92,15,4,6,1,16,4,3,0,0,0,1,0,0,0
024,214,387,405,419,1464,228,1184,441,715,37,347,2,59,24,34,32,211,52,7,22,0,12,4,4,2,0,1,0,0,0,0,0
025,415,659,1324,859,2447,622,2442,1022,1375,55,568,29,121,46,143,95,232,168,16,187,14,16,17,2,6,0,1,0,2,0,0,0
